Algoritmo,Inercia_Media,Desvio_Padrao_Inercia,Tempo_Medio(s),Iteracoes_Media,Silhouette_Score
Standard (Random),244780.31,42366.97,0.0095,13.0,0.2741
Improved (K-Means++),203258.28,30159.90,0.0093,6.9,0.3752
